x,y,presencia
22.437,44.8917,1
11.65602,60.96138,1
9.54629,60.18554,1
12.61346,61.30953,1
27.43587,59.04372,1
9.79296,62.98815,1
11.14526,63.1203,1
19.39713,69.0341,1
-4.41,42.85,1
-7.11,42.57,1
10.617,51.1333,1
27.61174,59.13281,1
29.59779,69.7291,1
8.82765,60.73245,1
12.98323,65.16632,1
24.1414,58.83323,1
-4.88,42.39,1
12.06661,63.8095,1
25.36173,58.67483,1
-0.62,42.74,1
21.65,44.4,1
15.12539,66.40716,1
19.10014,68.84714,1
10.97957,64.09051,1
9.50487,59.95314,1
9.37147,62.558,1
18.57778,68.98947,1
9.58434,62.02172,1
26.75,48.9667,1
26.22597,58.59308,1
27.08606,58.5953,1
20.60576,69.51107,1
11.31644,60.51191,1
10.03403,61.46842,1
-0.91667,54.267,1
26.57113,58.50488,1
25.03736,58.31098,1
13.61418,64.65025,1
15.37708,66.91803,1
7.7167,47.3,1
-4.17,43.12,1
11.30776,61.07647,1
29.20721,70.25213,1
6.8667,47.1,1
11.65,50.708,1
30.68366,63.11086,1
24.3215,58.74724,1
23.53227,59.1096,1
12.34089,64.0252,1
27.0873,59.04442,1
21.46601,69.52893,1
12.79424,61.28265,1
22.63407,58.58505,1
27.08776,59.22404,1
27.79061,59.31147,1
-5.25,42.48,1
11.12982,62.59518,1
-6.34,43.46,1
13.47591,66.1907,1
25.18952,58.6725,1
9.14695,59.40908,1
22.5,44.65,1
23.7067,59.10607,1
12.7878,64.31996,1
1.23,42.57,1
24.84551,58.66736,1
11.64265,64.01863,1
12.12423,64.08303,1
26.03135,59.40012,1
11.44157,62.7309,1
9.74143,61.67901,1
8.39346,60.61537,1
0.98,42.75,1
10.71578,61.2708,1
25.88764,58.41095,1
27.44049,59.40293,1
29.14945,69.21465,1
10.54465,62.57348,1
10.18341,60.30351,1
23.67187,58.65754,1
11.23381,61.81326,1
10.01032,62.76141,1
26.41437,57.60602,1
11.98072,64.45066,1
12.8258,64.79427,1
26.04646,58.86136,1
25.15511,59.4059,1
13.76982,65.59913,1
9.50432,61.73959,1
11.98403,61.32556,1
11.8955,62.42611,1
19.07296,69.22134,1
-4.65,42.94,1
25.02747,58.49049,1
18.71758,69.47326,1
8.62817,62.76053,1
27.25612,58.32563,1
13.9596,64.21244,1
13.33175,64.74876,1
26.74337,58.41551,1
12.87228,64.06658,1
28.97059,70.21989,1
26.74603,58.05619,1
19.58281,68.95142,1
28.31302,70.25191,1
12.01638,62.22123,1
25.19877,58.49297,1
27.26227,59.13399,1
23.91843,62.36185,1
7.10821,58.35598,1
26.91539,58.05646,1
26.39812,58.59396,1
-6.61,43.01,1
10.40734,63.18785,1
11.1918,62.76904,1
8.09705,61.93079,1
-0.37,42.74,1
25.01223,58.75971,1
12.19515,64.66246,1
-6.6,43.28,1
9.30751,61.49464,1
13.28775,64.48078,1
10.25027,61.08064,1
8.65327,58.68833,1
8.9833,48.05,1
8.6333,47.7,1
23.52249,69.68039,1
9.49171,61.11323,1
25.52269,58.94625,1
0.74,42.66,1
9.62393,59.71466,1
15.14759,68.84937,1
26.90625,63.46639,1
12.70822,65.90209,1
22.99835,58.93925,1
11.01601,61.35684,1
-6.86,42.75,1
13.72614,64.17291,1
14.02296,66.21924,1
9.42171,61.30146,1
22.5917,46.525,1
25.22594,45.55191,1
10.23157,61.62299,1
12.37505,64.64421,1
14.02587,65.03347,1
26.91353,58.77505,1
25.71654,58.40936,1
8.72983,59.70714,1
26.20559,59.49144,1
26.39,59.04306,1
26.74912,57.60707,1
-6.38,42.56,1
4.5,50.9912,1
26.56767,58.77435,1
12.05683,60.84939,1
-3.6667,50.5,1
14.292,47.676,1
-3.68,43.04,1
12.63105,61.07631,1
9.94881,61.70795,1
11.94088,62.64305,1
14.45647,65.32932,1
-5.28,43.29,1
11.4578,64.18469,1
25.37024,58.49525,1
-0.86,42.93,1
13.8809,66.04519,1
25.88196,58.59055,1
9.07005,63.00503,1
13.869,64.4128,1
28.97753,69.15464,1
26.21161,59.22172,1
10.40929,61.92205,1
10.54722,61.10528,1
10.03804,61.27209,1
25.32281,59.48297,1
24.16352,58.56419,1
27.43816,59.22333,1
11.37912,63.52962,1
7.62054,59.34742,1
10.22558,62.80333,1
8.29309,62.38889,1
-6.13,42.82,1
-6.37,42.74,1
-5.04,43.38,1
28.10779,70.43339,1
10.8781,63.12954,1
8.7107,62.24314,1
11.75259,63.31278,1
18.131,68.82139,1
10.02204,61.05647,1
26.04148,59.04096,1
16.9,50.233,1
9.05434,60.3402,1
9.57545,62.56658,1
9.3836,61.91174,1
9.86444,59.87315,1
12.28634,60.18224,1
-5.02,43.02,1
-5.89,43.18,1
24.94352,69.94823,1
26.48735,59.30437,1
-5.4,43.1,1
23.68568,58.83695,1
25.8493,59.57801,1
10.79131,61.5022,1
24.0834055,69.2500705,0
27.7500795,62.2500565,0
16.4167235,48.0833615,0
13.7500515,66.7500655,0
11.2500465,62.9167245,0
17.4167255,50.0833655,0
6.0833695,59.5833845,0
35.9167625,39.9166785,0
24.9167405,69.5834045,0
5.7500355,51.0833675,0
8.9167085,47.5833605,0
-0.416643499999999,42.9166845,0
19.5833965,42.7500175,0
26.0834095,60.9167205,0
27.4167455,57.5833805,0
26.4167435,45.2500225,0
26.4167435,64.2500605,0
12.2500485,64.4167275,0
18.9167285,68.9167365,0
24.0834055,68.2500685,0
20.5833985,47.9166945,0
30.2500845,62.5833905,0
21.2500665,47.4166935,0
11.7500475,50.0833655,0
26.5834105,48.4166955,0
20.4167315,44.0833535,0
-6.0833215,42.5833505,0
6.7500375,47.7500275,0
17.7500595,67.2500665,0
26.0834095,59.4167175,0
8.5833745,60.9167205,0
18.7500615,48.9166965,0
14.4167195,48.2500285,0
0.9166925,42.4166835,0
-8.0833255,42.4166835,0
10.4167115,63.2500585,0
29.0834155,62.0833895,0
-1.5833125,53.9167065,0
7.5833725,60.9167205,0
-1.9166465,42.9166845,0
11.9167145,60.2500525,0
-8.2499925,42.5833505,0
24.5834065,57.9167145,0
36.4167635,39.9166785,0
20.2500645,68.5834025,0
6.9167045,59.5833845,0
14.4167195,45.5833565,0
6.2500365,47.2500265,0
14.4167195,63.9167265,0
13.4167175,59.5833845,0
17.2500585,48.9166965,0
19.5833965,68.2500685,0
10.2500445,47.9166945,0
11.7500475,51.0833675,0
16.5833905,67.7500675,0
22.5834025,57.7500475,0
19.2500625,69.4167375,0
5.2500345,61.9167225,0
28.7500815,63.7500595,0
28.0834135,44.0833535,0
24.2500725,58.5833825,0
7.5833725,49.9166985,0
31.7500875,69.4167375,0
10.7500455,50.0833655,0
16.7500575,66.0833975,0
20.4167315,50.9167005,0
15.0833875,46.2500245,0
27.2500785,62.5833905,0
30.2500845,69.7500715,0
37.2500985,40.4166795,0
16.5833905,46.5833585,0
12.9167165,62.7500575,0
23.7500715,45.0833555,0
26.5834105,60.9167205,0
29.0834155,59.2500505,0
28.4167475,62.7500575,0
7.9167065,62.5833905,0
10.5833785,49.0833635,0
17.2500585,67.9167345,0
24.7500735,61.4167215,0
11.9167145,50.7500335,0
28.7500815,45.2500225,0
20.0833975,44.9166885,0
10.2500445,48.2500285,0
27.9167465,59.2500505,0
-4.0833175,41.9166825,0
24.7500735,45.5833565,0
9.7500435,61.4167215,0
18.0833935,49.5833645,0
6.0833695,49.9166985,0
19.9167305,49.7500315,0
12.4167155,60.2500525,0
6.5833705,58.7500495,0
30.0834175,68.7500695,0
16.0833895,46.0833575,0
14.0833855,66.4167315,0
20.7500655,44.2500205,0
12.5833825,61.5833885,0
-7.4166575,42.7500175,0
8.0833735,49.2500305,0
28.7500815,58.4167155,0
-6.4166555,42.5833505,0
29.2500825,62.5833905,0
25.7500755,48.4166955,0
36.0834295,39.9166785,0
0.0833575,52.2500365,0
-0.0833094999999986,42.9166845,0
15.9167225,66.7500655,0
5.9167025,58.7500495,0
17.0833915,50.5833665,0
16.4167235,65.7500635,0
6.2500365,50.0833655,0
6.9167045,60.9167205,0
9.7500435,63.4167255,0
22.5834025,44.5833545,0
-3.5833165,43.0833515,0
15.2500545,48.0833615,0
25.5834085,56.9167125,0
22.9167365,68.5834025,0
36.9167645,39.9166785,0
12.7500495,64.4167275,0
13.9167185,60.5833865,0
3.4166975,50.9167005,0
10.5833785,51.0833675,0
6.0833695,58.5833825,0
16.2500565,46.4166915,0
14.0833855,47.2500265,0
-7.0833235,43.0833515,0
14.2500525,48.7500295,0
28.2500805,69.2500705,0
13.2500505,47.2500265,0
24.5834065,45.9166905,0
23.2500705,38.2500085,0
24.7500735,62.7500575,0
6.2500365,58.9167165,0
9.0833755,49.5833645,0
-0.0833094999999986,42.4166835,0
26.2500765,63.5833925,0
14.4167195,47.7500275,0
13.4167175,47.2500265,0
25.4167415,44.9166885,0
25.0834075,45.4166895,0
6.5833705,50.7500335,0
-3.4166495,42.7500175,0
13.9167185,48.5833625,0
-6.7499895,41.7500155,0
19.7500635,49.5833645,0
11.9167145,49.7500315,0
28.4167475,45.2500225,0
22.9167365,46.0833575,0
-7.9166585,42.4166835,0
20.7500655,47.7500275,0
8.2500405,60.0833855,0
23.2500705,69.7500715,0
-2.9166485,42.7500175,0
27.4167455,56.9167125,0
6.5833705,61.7500555,0
15.5833885,45.5833565,0
13.4167175,63.9167265,0
12.7500495,65.5833965,0
28.9167485,63.5833925,0
13.7500515,63.2500585,0
25.2500745,58.2500485,0
16.7500575,46.7500255,0
9.9167105,51.7500355,0
20.0833975,43.7500195,0
26.2500765,70.4167395,0
25.4167415,69.5834045,0
-6.5833225,41.4166815,0
24.7500735,57.7500475,0
24.7500735,69.5834045,0
-6.5833225,42.9166845,0
23.7500715,61.4167215,0
29.0834155,70.7500735,0
25.5834085,49.0833635,0
29.2500825,58.2500485,0
11.5833805,50.0833655,0
27.5834125,48.5833625,0
20.9167325,49.7500315,0
-0.249976499999999,42.0833495,0
22.0834015,46.4166915,0
13.7500515,64.0833935,0
15.0833875,45.2500225,0
14.5833865,66.9167325,0
25.2500745,60.9167205,0
9.9167105,49.4166975,0
21.4167335,46.7500255,0
2.5833625,42.0833495,0
5.7500355,51.2500345,0
26.7500775,58.9167165,0
-6.7499895,41.5833485,0
24.4167395,45.2500225,0
26.0834095,57.9167145,0
5.5833685,49.7500315,0
8.0833735,48.2500285,0
23.2500705,44.2500205,0
21.2500665,48.9166965,0
13.9167185,47.0833595,0
29.0834155,61.7500555,0
37.0834315,40.4166795,0
-1.5833125,42.0833495,0
-1.9166465,43.0833515,0
6.5833705,46.9166925,0
-1.0833115,52.5833705,0
22.9167365,37.9166745,0
12.4167155,63.2500585,0
